INSTNM,CITY,STABBR,ZIP,CARNEGIESIZE,INSTSIZE,LONGITUD,LATITUDE
Summit Salon Academy-Perrysburg,Perrysburg,OH,43551,-2,1,-83.620281,41.54424
Portland Actors Conservatory,Portland,OR,97205,-2,1,-122.686647,45.520964
Somerset County Technology Center,Somerset,PA,15501-4309,-2,1,-79.029641,40.00475
Metro Beauty Academy,Allentown,PA,18106,-2,1,-75.555591,40.56865
Academy for Careers and Technology,Mullins,SC,29574,-2,1,-79.340157,34.186433
Love Beauty School Inc,Manchester,TN,37355,-2,1,-86.093863,35.488524
Houston International College Cardiotech Ultrasound School,Houston,TX,77099,-2,-1,-95.592909,29.675203
DuVall's School of Cosmetology,Bedford,TX,76021,-2,1,-97.168105,32.852275
Texas Beauty College,Haltom city,TX,76117,-2,1,-97.265311,32.826045
Avenue Five Institute,Austin,TX,78757,-2,1,-97.728961,30.369503
The Salon Professional Academy-Lewisville,Lewisville,TX,75067,-2,1,-96.964907,33.005024
Renaissance Academie,Provo,UT,84604,-2,1,-111.665961,40.25395
Ascent College,Gainesville,VA,20155,1,1,-77.624657,38.805988
Institute of Advanced Medical Esthetics,Ashland,VA,23005-2111,-2,1,-77.475904,37.758005
Aveda Arts & Sciences Institute Seattle,Seattle,WA,98122,-2,1,-122.321762,47.614403
Northwest School of Wooden Boat Building,Port Hadlock,WA,98339,1,1,-122.752588,48.03413
The Salon Professional Academy-Onalaska,Onalaska,WI,54650,-2,1,-91.19732,43.87382
West Coast University-Orange County,Anaheim,CA,92802-2905,3,2,-117.911811,33.81104
West Coast University-Ontario,Ontario,CA,91761-7698,2,2,-117.590035,34.066591
Paul Mitchell the School-Chicago,Chicago,IL,60607,-2,1,-87.646644,41.866213
Miller-Motte College-Fayetteville,Fayetteville,NC,28311,1,1,-78.88167,35.11096
European Massage Therapy School-Las Vegas,Las Vegas,NV,89117,-2,1,-115.300577,36.145445
Miller-Motte College-Columbus,Columbus,GA,31907,2,1,-84.935912,32.479997
Fortis College-Indianapolis,Indianapolis,IN,46268,1,1,-86.223181,39.9184
Empire Beauty School-E Memphis,Memphis,TN,38117,-2,1,-89.90197,35.115499
Empire Beauty School-Nashville,Brentwood,TN,37027,-2,1,-86.814676,35.967868
Empire Beauty School-Jackson,Jackson,TN,38301,-2,1,-88.847611,35.63694
Empire Beauty School-Springfield,Springfield,PA,19064,-2,1,-75.349771,39.93765
Empire Beauty School-Speedway,Speedway,IN,46224,-2,1,-86.261512,39.80055
Empire Beauty School-Morrow,Morrow,GA,30260,-2,1,-84.32568,33.564936
Strayer University-Arkansas,Little Rock,AR,72201,2,1,-92.271192,34.745489
Strayer University-Georgia,Chamblee,GA,30341,3,2,-84.267177,33.870686
Strayer University-Mississippi,Jackson,MS,39201,2,1,-90.188097,32.300562
Strayer University-South Carolina,Greenville,SC,29601,2,2,-82.399535,34.839766
Strayer University-Texas,Farmers Branch,TX,75234,3,2,-96.887509,32.910744
Empire Beauty School-Charlotte,Charlotte,NC,28213,-2,1,-80.7837,35.25855
Empire Beauty School-Winston-Salem,Winston-Salem,NC,27106,-2,1,-80.282751,36.152612
Empire Beauty School-West Palm,West Palm Beach,FL,33409,-2,1,-80.107401,26.705541
Empire Beauty School-Pineville,Charlotte,NC,28226,-2,1,-80.865367,35.089864
Paul Mitchell the School-Phoenix,Phoenix,AZ,85017,-2,1,-112.133047,33.523667
Paul Mitchell the School-Modesto,Modesto,CA,95350,-2,1,-120.993745,37.68301
Paul Mitchell the School-Fresno,Fresno,CA,93710,-2,1,-119.782437,36.809778
Unitek College,Fremont,CA,94538,3,3,-121.961761,37.50904
Gurnick Academy of Medical Arts,San Jose,CA,95112,2,2,-121.912991,37.364294
Paul Mitchell the School-East Bay,Pleasant Hill,CA,94523,-2,1,-122.061226,37.94492
South University-Richmond,Glen Allen,VA,23060,2,1,-77.599967,37.64706
South University-Virginia Beach,Virginia Beach,VA,23452,2,1,-76.124288,36.8336
Aveda Institute-Denver,Denver,CO,80204,-2,1,-105.000615,39.729146
Paul Mitchell the School-Colorado Springs,Colorado Springs,CO,80903,-2,1,-104.828339,38.832889
The Salon Professional Academy-Colorado Springs,Colorado Springs,CO,80918,-2,1,-104.750884,38.896966
Paul Mitchell the School-Delaware,Newark,DE,19702,-2,1,-75.680231,39.62274
Fred K Marchman Technical College,New Port Richey,FL,34653,-2,1,-82.691779,28.271196
The Salon Professional Academy-Ft Myers,Fort Myers,FL,33907,-2,1,-81.887326,26.595568
Universal Spa Training Academy,Downers Grove,IL,60515,-2,1,-87.99384,41.796008
The Salon Professional Academy-Evansville,Evansville,IN,47715,-2,1,-87.483521,37.98732
Tri County Regional Vocational Technical High School,Franklin,MA,2038,-2,1,-71.421577,42.094957
Nova Academy of Cosmetology,Rochester,MN,55901,-2,1,-92.509748,44.08537
Sage School of Massage & Esthetics,Bend,OR,97703,-2,-2,-121.358102,44.058731
Peloton College,Dallas,TX,75231,1,1,-96.768104,32.89622
ABC Beauty Academy,Richardson,TX,75081,-2,1,-96.685333,32.931698
Salon & Spa Institute,Brownsville,TX,78520-8809,-2,1,-97.508606,25.938911
American Beauty Academy,Payson,UT,84651,-2,1,-111.733488,40.034634
Summit Salon Academy,Tacoma,WA,98409,-2,1,-122.472325,47.223485
Paul Mitchell the School-Milwaukee,Wauwatosa,WI,53222,-2,1,-88.055994,43.074156
Touro University Worldwide,Los Alamitos,CA,90720,2,2,-118.057754,33.808683
Touro University California,Vallejo,CA,94592,2,2,-122.263949,38.085479
The Chicago School at Washington DC,Washington,DC,20005,2,1,-77.033071,38.90163
Touro University Nevada,Henderson,NV,89014,2,2,-115.024012,36.043189
Herzing University-Kenosha,Kenosha,WI,53140,2,1,-87.820105,42.582628
Herzing University-Brookfield,Brookfield,WI,53005,2,1,-88.110994,43.035738
Texas A&M University-San Antonio,San Antonio,TX,78224,3,3,-98.52417,29.304762
Fortis Institute,Houston,TX,77060,2,1,-95.395051,29.93744
Southern Careers Institute-Brownsville,Brownsville,TX,78520,2,1,-97.501124,25.936988
Southern Careers Institute-Harlingen,Harlingen,TX,78550,2,1,-97.675281,26.20385
Strayer University-Global Region,Washington,DC,20005,3,4,-77.034133,38.904881
Kenneth Shuler School of Cosmetology-Florence,Florence,SC,29501,-2,1,-79.80945,34.238425
Fortis College-Columbia,Columbia,SC,29210,2,1,-81.081809,34.01512
Ross Medical Education Center-Davison,Davison,MI,48423-1751,-2,1,-83.516551,43.021829
Ross Medical Education Center-Granger,Granger,IN,46530-4479,-2,1,-86.174277,41.717835
Ross Medical Education Center-Niles,Niles,OH,44446-4810,-2,1,-80.746465,41.212037
Ross Medical Education Center-Canton,Canton,MI,48187-5071,-2,1,-83.482675,42.324442
Pima Medical Institute-Houston,Houston,TX,77041,2,2,-95.562287,29.838306
Illinois Media School-Chicago Campus,Chicago,IL,60605,-2,1,-87.62851,41.883062
Miller-Motte College-STVT-San Antonio,San Antonio,TX,78214,-2,1,-98.4891,29.35599
Concorde Career College-Dallas,Dallas,TX,75243,2,1,-96.741711,32.91856
Concorde Career Institute-Orlando,Orlando,FL,32803,2,1,-81.340421,28.55984
Concorde Career College-San Antonio,San Antonio,TX,78229,2,1,-98.582351,29.49003
Johnson & Wales University-Online,Providence,RI,2903,2,2,-71.41277,41.819956
Moreno Valley College,Moreno Valley,CA,92551,3,4,-117.20271,33.88744
Norco College,Norco,CA,92860,3,4,-117.570212,33.917387
Dorsey College-Saginaw,Saginaw,MI,48603,-2,1,-83.973056,43.47055
Milan Institute of Cosmetology-El Paso,El Paso,TX,79936,-2,1,-106.300156,31.749325
Universal Technical Institute-Dallas Fort Worth,Irving,TX,75063,2,2,-97.012741,32.93806
ICPR Junior College,Manati,PR,674,2,1,-66.493841,18.429025
Artistic Nails and Beauty Academy-Lakeland,Lakeland,FL,33801,-2,1,-81.94718,28.053634
Hawaii Medical College,Honolulu,HI,96814-3518,2,1,-157.847652,21.295164
Carolina College of Hair Design Inc,Asheville,NC,28806-2711,-2,1,-82.601533,35.584088
Integrated Massage Therapy Services,Blackfoot,ID,83221,-2,1,-112.335853,43.200889
Miller-Motte College-Jacksonville,Jacksonville,NC,28546,1,1,-77.432163,34.797826
Miller-Motte College-Augusta,Augusta,GA,30906,2,1,-82.055083,33.423915
Miller-Motte College-Conway,Conway,SC,29526-9508,2,1,-78.993461,33.788822
Aveda Institute-Portland,Portland,OR,97209-3144,-2,1,-122.68474,45.525507
Chamberlain University-Virginia,Vienna,VA,22182,2,1,-77.220505,38.910459
Penrose Academy,Scottsdale,AZ,85254-4065,-2,1,-111.927617,33.608309
Skin Institute,Saint Louis,MO,63126,-2,1,-90.364232,38.527717
Beauty Academy of South Florida,Hialeah Gardens,FL,33016-2421,-2,1,-80.323571,25.86289
Ogle School Hair Skin Nails-North Dallas,Dallas,TX,75248-1216,-2,1,-96.803615,32.984161
The Salon Professional Academy,Sherwood,AR,72120,-2,1,-92.20198,34.858161
The Salon Professional Academy-St Charles,St. Charles,MO,63301-1021,-2,1,-90.538719,38.788891
Mildred Elley-New York Campus,New York,NY,10004-1010,2,1,-74.013948,40.70563
Crestpoint University,Phoenix,AZ,85014-1561,2,1,-112.064275,33.530663
Carolina College of Biblical Studies,Fayetteville,NC,28303-5157,1,1,-78.939514,35.05141
Northeast Technology Center,Pryor,OK,74361,-2,2,-95.309265,36.294408
Allstate Hairstyling & Barber College,Cleveland,OH,44113-3413,-2,1,-81.704403,41.484002
Omega Graduate School,Dayton,TN,37321-6736,1,1,-85.053774,35.468142
Jung Tao School of Classical Chinese Medicine,Sugar Grove,NC,28679-9657,1,1,-81.785303,36.263233
New York Film Academy,Burbank,CA,91505,2,2,-118.335567,34.152076
International College of Cosmetology,Oakland,CA,94601-3525,-2,1,-122.220803,37.774887
Bella Capelli Academy,Monroeville,PA,15146-2388,-2,1,-79.781557,40.432534
Institute of Medical Careers,Pittsburgh,PA,15235-3718,2,1,-79.823825,40.465286
Flagler Technical College,Palm Coast,FL,32164,-2,1,-81.211337,29.47629
Galaxy Medical College,North Hollywood,CA,91606-1593,1,1,-118.396209,34.186976
American Medical Sciences Center,Glendale,CA,91204-5108,1,1,-118.256991,34.147117
Mandalyn Academy,American Fork,UT,84003-2161,-2,1,-111.78129,40.371763
Jose Maria Vargas University,Pembroke Pines,FL,33026,1,1,-80.281548,26.009656
D A Dorsey Technical College,Miami,FL,33147-6304,-2,1,-80.225732,25.839575
Keweenaw Bay Ojibwa Community College,LAnse,MI,49946-0000,1,1,-88.447052,46.764477
Meridian Institute of Surgical Assisting,Nashville,TN,37218,2,1,-86.842536,36.187738
Mauna Loa Helicopters,Kailua Kona,HI,96740-2650,-2,1,-156.041847,19.729107
Acaydia School of Aesthetics,Provo,UT,84601-0000,-2,1,-111.65823,40.234627
Holistic Massage Training Institute,Baltimore,MD,21218,-2,1,-76.603096,39.322479
Diamonds College,Sherman,TX,75090-2657,-2,1,-96.606125,33.673442
Northern Virginia School of Therapeutic Massage,Falls Church,VA,22042-4302,-2,1,-77.160302,38.873422
Paul Mitchell the School-St Louis,St. Louis,MO,63108-1554,-2,1,-90.262731,38.64474
Advanced Training Institute,Las Vegas,NV,89118-1519,-2,1,-115.206821,36.09589
Shepherds Theological Seminary,Cary,NC,27518-9316,1,1,-78.742623,35.744334
Taylor Andrews Academy of Hair Design-West Jordan,West Jordan,UT,84088-6577,-2,1,-111.934309,40.586803
Santa Ana Beauty Academy,Santa Ana,CA,92705-7820,-2,1,-117.835205,33.766402
Manna University,Fayetteville,NC,28314-2343,1,1,-78.961305,35.058616
Evolve Beauty Academy,Washing,MO,63090,-2,1,-91.013977,38.551723
Aveda Institute-New Mexico,Albuquerque,NM,87104-1160,-2,1,-106.667464,35.091873
American Trade School,Saint Ann,MO,63074-1807,-2,1,-90.380141,38.72876
Estelle Skin Care and Spa Institute,Skokie,IL,60077-9945,-2,1,-87.747041,42.06358
Elite Cosmetology School,PALM DESERT,CA,92260,-2,1,-116.394724,33.723624
American Technical Institute,Bayamon,PR,00957-0000,-2,1,-66.184489,18.379307
Aveda Institute-Boise,Boise,ID,83704-4406,-2,1,-116.309994,43.620545
Pima Medical Institute-Aurora,Aurora,CO,80012-0000,2,1,-104.831481,39.6956
Capilo School of Hair Design,Augusta,ME,04330-0000,-2,1,-69.777717,44.317693
Pure Aesthetics Natural Skincare School,Tucson,AZ,85716-3823,-2,1,-110.929841,32.23572
Lindsey Institute of Cosmetology,Bowling Green,KY,42103-8036,-2,1,-86.420808,36.947279
Buckner Barber School,Dallas,TX,75217-1775,-2,1,-96.684709,32.737175
Simmons College of Kentucky,Louisville,KY,40203-3322,1,1,-85.764811,38.239519
Atelier Esthetique Institute of Esthetics,New York,NY,10001,-2,1,-73.995669,40.746376
Advanced College of Cosmetology,Waupun,WI,53963-0000,-2,1,-88.736198,43.632848
North American University,Stafford,TX,77477-0000,2,1,-95.588338,29.646303
United Beauty College,Denver,CO,80219,-2,1,-105.025463,39.68573
Cinta Aveda Institute,San Francisco,CA,94108-3204,-2,1,-122.404307,37.790935
Long Island Nail Skin & Hair Institute,Bethpage,NY,11714,-2,1,-73.489818,40.759423
Keser Torah-Mayan Hatalmud,Lakewood,NJ,08701-2758,1,1,-74.17029,40.098369
Southern California Health Institute,North Hollywood,CA,91601,-2,1,-118.370014,34.173485
Best Care College,East Orange,NJ,07018-1703,1,1,-74.221116,40.765332
First Class Cosmetology School,Beloit,WI,53511-0000,-2,1,-89.036231,42.49901
Millennia Atlantic University,Doral,FL,33178,1,1,-80.352717,25.808134
Abcott Institute,Southfield,MI,48075-5227,-2,1,-83.210617,42.446331
The Salon Professional Academy-Kenosha,Kenosha,WI,53142-4950,-2,1,-87.853088,42.55804
Paul Mitchell the School-Indianapolis,Indianapolis,IN,46227-6252,-2,1,-86.127361,39.640007
Taylor Andrews Academy-St George,St. George,UT,84790,-2,1,-113.534004,37.101706
Protege Academy,East Lansing,MI,48823-8660,-2,1,-84.452903,42.724862
Colorado Academy of Veterinary Technology,Colorado Springs,CO,80906-4944,1,1,-104.790429,38.794277
Northeast Technical Institute,Scarborough,ME,04074-0000,-2,1,-70.314892,43.608171
Elite School of Cosmetology,Norwalk,OH,44857-2714,-2,1,-82.60795,41.233614
Paul Mitchell the School-Las Vegas,Las Vegas,NV,89123-8014,-2,1,-115.117034,36.016734
Summit Salon Academy-Kokomo,Kokomo,IN,46901-6248,-2,1,-86.106111,40.474971
Florida Academy,Fort Myers,FL,33966-1155,-2,1,-81.825149,26.608576
Institute for Doctoral Studies in the Visual Arts,Portland,ME,04101-0000,1,1,-70.251742,43.661402
State Career College,Gurnee,IL,60061,-2,1,-87.889232,42.370223
Academy for Salon Professionals,Northridge,CA,91324,-2,1,-118.558215,34.23396
Paul Mitchell the School-Spokane,Spokane Valley,WA,99037-5041,-2,1,-117.19893,47.658368
International College of Beauty Arts & Sciences,Los Angeles,CA,90039-1012,-2,1,-118.273227,34.148057
John Paul the Great Catholic University,Escondido,CA,92025,1,1,-117.082401,33.12085
University of Connecticut-Hartford Campus,Hartford,CT,6103,-2,2,-72.672175,41.762673
Ottawa University-Surprise,Surprise,AZ,85374,2,1,-112.368233,33.628923
Chamberlain University-Missouri,St. Louis,MO,63146,2,1,-90.436283,38.701907
Chamberlain University-Texas,Houston,TX,77041,2,2,-95.560414,29.838386
Continental School of Beauty Culture-Mattydale,Mattydale,NY,13211-1003,-2,1,-76.147295,43.105938
Paul Mitchell the School-Columbia,West Columbia,SC,29169,-2,1,-81.070249,33.990955
Paul Mitchell the School-Charleston,North Charleston,SC,29418-6993,-2,1,-80.022852,32.874611
Kenneth Shuler School of Cosmetology-Greenville,Greenville,SC,29611-7553,-2,1,-82.484519,34.791087
Northwest College-Eugene,Springfield,OR,97477,-2,1,-123.046328,44.078014
Northwest College-Tualatin,Tualatin,OR,97062-9462,-2,1,-122.762464,45.382946
CET-Soledad,Soledad,CA,93960-2996,-2,1,-121.316599,36.41456
UEI College-Oceanside,Oceanside,CA,92058-2321,-2,1,-117.36182,33.204442
Paul Mitchell the School-New Orleans,Metairie,LA,70002-4705,-2,1,-90.163276,30.004827
UEI College-Garden Grove,Garden Grove,CA,92840-2409,-2,2,-117.943701,33.801877
New England Tractor Trailer Training School of Massachusetts,North Andover,MA,01845-1048,-2,1,-71.116853,42.7307
Dewey University-Manati,Manati,PR,00674-0000,1,1,-66.487333,18.433307
Allen School-Phoenix,Phoenix,AZ,85053-4064,-2,1,-112.11743,33.629635
Oklahoma Technical College,Tulsa,OK,74145,1,1,-95.905011,36.098687
Unitech Training Academy-Alexandria,Alexandria,LA,71301,-2,1,-92.460375,31.265718
UEI College-Riverside,Riverside,CA,92507-5344,-2,2,-117.351755,33.975392
WellSpring School of Allied Health-Lawrence,Lawrence,KS,66045-3073,1,1,-95.235123,38.965848
Manuel and Theresa's School of Hair Design-Victoria,Victoria,TX,77902-7076,-2,1,-96.991589,28.799901
Tricoci University of Beauty Culture-Chicago NE,Chicago,IL,60626-5232,-2,1,-87.660911,41.999802
Los Angeles Pacific University,San Dimas,CA,91773-1741,2,2,-117.827484,34.110723
Avalon Institute-Phoenix,Phoenix,AZ,85022,-2,1,-112.068527,33.641828
Avalon Institute-Layton,Layton,UT,84041,-2,1,-112.003639,41.089919
Aveda Institute-Des Moines,West Des Moines,IA,50266,-2,1,-93.802586,41.562675
Fortis Institute-Lawrenceville,Lawrenceville,NJ,8648,-2,1,-74.719102,40.260811
Relay Graduate School of Education,New York,NY,10004,3,2,-74.013948,40.70563
Miller-Motte College-Macon,Macon,GA,31210,1,1,-83.687065,32.897821
South University-Savannah Online,Savannah,GA,31406,3,3,-81.105531,31.999481
San Joaquin Valley College-Temecula,Temecula,CA,92590-5678,2,1,-117.166502,33.525983
Whitworth University-Adult Degree Programs,Spokane,WA,99251,1,1,-117.411568,47.751642
The Colleges of Law at Santa Barbara,Santa Barbara,CA,93101,1,1,-119.70516,34.424542
The University of America,Temecula,CA,92590,-2,-1,-117.167871,33.519293
"Springfield College-Regional, Online, and Continuing Education",Springfield,MA,01109-3739,2,1,-72.556647,42.1022
Marian Health Careers Center-Van Nuys Campus,Van Nuys,CA,91411,-2,1,-118.465561,34.177483
Milan Institute-Las Vegas,Las Vegas,NV,89102-4456,-2,1,-115.171498,36.14671
Catholic International University,Charles Town,WV,25414,1,1,-77.859242,39.287311
New York School of Esthetics & Day Spa,white plains,NY,10606-1207,-2,1,-73.781183,41.035422
Finger Lakes Health College of Nursing & Health Sciences,Geneva,NY,14456-1651,1,1,-76.987844,42.876429
ASI Career Institute,Turnersville,NJ,08012-1043,-2,1,-75.045442,39.756604
Christine Valmy International School of Esthetics & Cosmetology,Wayne,NJ,7470,-2,1,-74.255794,40.885499
City College-Hollywood,Hollywood,FL,33024-4045,-2,-1,-80.22004,26.025173
Paul Mitchell the School-Arlington,Arlington,TX,76018-6032,-2,1,-97.107997,32.680899
Rocky Mountain University of Health Professions,Provo,UT,84606,2,2,-111.655651,40.21033
Paul Mitchell the School-Fort Myers,Fort Myers,FL,33913,-2,1,-81.792422,26.495581
Paul Mitchell the School-Raleigh,Raleigh,NC,27612-7358,-2,1,-78.740471,35.882566
CUNY Stella and Charles Guttman Community College,New York,NY,10018-2602,2,2,-73.984131,40.75281
Lil Lou's Beauty and Barber College,Gary,IN,46409-2404,-2,1,-87.335811,41.53025
Criswell College,Dallas,TX,75246-1537,1,1,-96.77669,32.793513
Reflections Academy of Beauty,Decatur,IL,62526,-2,1,-88.952037,39.879619
UCAS University of Cosmetology Arts & Sciences-La Joya,La Joya,TX,78560-4018,-2,1,-98.468021,26.24605
Annenberg School of Nursing,Reseda,CA,91335-5426,-2,1,-118.553851,34.200825
American Medical Academy,Miami,FL,33186-4830,2,1,-80.393361,25.66273
Tooele Technical College,Tooele,UT,84074-2093,-2,1,-112.325714,40.527752
Chamberlain University-Georgia,Sandy Springs,GA,30342,2,2,-84.351949,33.911943
